"state","year","pregnancyratelt15","pregnancyrate1517","pregnancyrate1819","pregnancyrate1519","pregnancyratelt20","pregnancyrate2024","pregnancyrate2529","pregnancyrate3034","pregnancyrate3539","pregnancyrate40plus","pregnancieslt15","pregnancies1517","pregnancies1819","pregnancies1519","pregnancieslt20","pregnancies2024","pregnancies2529","pregnancies3034","pregnancies3539","pregnancies40plus","pregnancyratetotal","pregnanciestotal","notes","versiondate"
"AK",1988,8.8,59.5,185.3,106.3,108.1,241.6,210.8,107.2,50.2,11.3,30,700,1280,1980,2010,4730,4920,3280,1290,210,120.4,16450,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of ID, OR, WA)"," 1 Mar 2021"
"AK",1992,10.5,63,188.9,111.2,113.5,291.5,199.5,114.4,54.1,12.5,40,750,1400,2150,2190,4920,4650,3470,1600,310,119.1,17150,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of ID, OR, WA)"," 1 Mar 2021"
"AK",1996,6.1,45.3,146.7,81.7,83.1,231.5,204.8,106.6,48.5,13.6,30,630,1140,1760,1790,4110,3840,2990,1460,390,100.8,14590,""," 1 Mar 2021"
"AK",2000,5.6,37.8,146.8,74.7,75.9,208.8,181,122.9,53.5,14.1,30,590,1180,1780,1810,3930,3730,2740,1450,400,99.6,14060,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"AK",2005,5.1,30.1,128.1,65.2,66.3,189.8,184.6,129.8,64.4,18.2,30,500,1190,1690,1720,4480,4000,2770,1440,480,105.2,14890,""," 1 Mar 2021"
"AK",2006,3.4,30.8,131,66.6,67.2,193.9,187,132.5,69.4,16.3,20,520,1230,1750,1770,4700,4210,2780,1580,420,108.6,15470,""," 1 Mar 2021"
"AK",2007,2.9,29.4,134.1,67.2,67.8,193,185,133,64.6,17.3,20,490,1260,1750,1770,4700,4330,2790,1460,420,109.1,15460,""," 1 Mar 2021"
"AK",2008,4.3,32.7,128.4,69.3,70.2,197.6,188.3,135.6,66,18,20,520,1260,1780,1800,4740,4580,2880,1470,420,112.9,15890,""," 1 Mar 2021"
"AK",2009,3.6,30.8,124.6,67.3,68,185.4,184.2,135.5,69.6,16.4,20,480,1240,1720,1740,4520,4660,2990,1550,380,111.1,15830,""," 1 Mar 2021"
"AK",2010,NA,29.5,121.5,64.8,65.1,191.1,177.1,140.4,62.7,17.9,NA,450,1160,1610,1620,4770,4670,3250,1380,400,111.8,16090,""," 1 Mar 2021"
"AK",2011,3.4,23.3,118.8,59.2,59.9,182.4,172.4,134.2,71.2,17.1,20,350,1080,1430,1450,4680,4700,3240,1530,390,110,15980,""," 1 Mar 2021"
"AK",2012,3.3,20,114.8,55,55.7,163.8,166,134.4,70,19.6,20,300,1000,1290,1310,4310,4570,3350,1520,440,105.8,15500,""," 1 Mar 2021"
"AK",2013,4.4,19.6,96.1,47.8,48.7,159.3,170.4,137.5,71.1,18.8,20,290,820,1110,1130,4230,4780,3550,1550,420,106.1,15650,""," 1 Mar 2021"
"AK",2014,3.2,16,93.4,44.3,45,160.4,167.3,140,67,17.8,20,230,780,1010,1030,4160,4730,3700,1470,380,105.2,15470,""," 1 Mar 2021"
"AK",2015,NA,15.6,95,44.1,44.4,151.5,164.6,139.4,72,16.8,NA,220,760,990,1000,3830,4690,3730,1630,350,104,15230,""," 1 Mar 2021"
"AK",2016,2.8,14.4,84.7,39.6,40.2,145.5,161.9,140.8,72.6,17,10,210,680,890,900,3540,4700,3850,1710,350,102.3,15050,""," 1 Mar 2021"
"AK",2017,3.6,13.5,70.2,33.7,34.5,135,152.7,132.8,71.1,19.1,20,190,550,740,760,3140,4470,3620,1720,390,96.3,14090,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"AL",1988,21.3,78.3,155.7,110.5,114.3,186.5,152.5,87.2,31.9,6.1,610,7440,10560,18000,18610,30410,25890,14470,4820,800,100.5,95000,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of GA, MS)"," 1 Mar 2021"
"AL",1992,23.6,76.3,173.4,116.4,120.9,184.2,155,87.2,32,6.5,700,6820,10890,17710,18410,30390,24210,14820,5380,990,97.8,94200,""," 1 Mar 2021"
"AL",1996,18.5,66.2,156.2,102.4,106,176.6,143.2,90.5,34.6,6.9,580,6370,10120,16490,17070,27620,22430,14650,6100,1150,90.9,89020,""," 1 Mar 2021"
"AL",2000,11.9,53.7,140.8,89.8,92.1,186.8,158.7,96.1,37.6,7.2,370,5050,9360,14410,14780,29180,23900,14690,6500,1280,93.1,90320,""," 1 Mar 2021"
"AL",2005,8.7,38.6,118.7,70.8,72.5,165.8,154.8,100.5,40.7,8.3,280,3740,7710,11440,11730,27130,22830,15040,6290,1440,88.8,84470,""," 1 Mar 2021"
"AL",2006,9.3,40.3,128.4,75.3,77.1,171.6,159.1,100.8,42.1,8.4,300,4000,8400,12400,12700,27950,24490,14780,6610,1440,92,87960,""," 1 Mar 2021"
"AL",2007,8.6,41.3,125.3,74.9,76.6,175.1,160.7,104.5,43.2,8.3,280,4130,8390,12520,12790,28610,25140,15210,6870,1390,93.9,90010,""," 1 Mar 2021"
"AL",2008,9.7,38.4,122.5,73.1,74.9,171.4,160.6,104.5,42.1,8.2,300,3810,8570,12380,12690,28160,25360,15300,6740,1330,93.2,89580,""," 1 Mar 2021"
"AL",2009,9,37.4,112.7,69.2,70.8,160.6,155.3,103.8,40.4,8.6,280,3680,8070,11750,12030,26710,24530,15460,6440,1380,90,86550,""," 1 Mar 2021"
"AL",2010,7.4,33.9,102.7,62.8,64.2,148.8,152.4,101.8,40.2,9.1,230,3280,7210,10490,10710,25170,23990,15490,6290,1440,86.5,83100,""," 1 Mar 2021"
"AL",2011,6.1,30.6,99.6,58.9,60,142.8,150.2,102.8,41.6,9.1,190,2910,6580,9490,9680,24820,23620,15900,6320,1460,85.3,81790,""," 1 Mar 2021"
"AL",2012,5.3,26.7,97.4,55.5,56.5,134.7,148,104.1,41.7,8.6,170,2510,6270,8780,8950,23860,23270,16230,6260,1380,83.3,79950,""," 1 Mar 2021"
"AL",2013,4.3,22.1,86.6,48.2,49.1,134.7,147.6,103.6,41.8,8.4,130,2080,5520,7600,7730,23960,23320,16230,6250,1360,82,78850,""," 1 Mar 2021"
"AL",2014,3.6,20.8,82.3,45.3,46,134.5,151,110.2,44.5,8.7,120,1960,5130,7090,7210,23690,24190,17280,6700,1390,83.8,80450,""," 1 Mar 2021"
