"state","year","pregnancyratelt15","pregnancyrate1517","pregnancyrate1819","pregnancyrate1519","pregnancyratelt20","pregnancyrate2024","pregnancyrate2529","pregnancyrate3034","pregnancyrate3539","pregnancyrate40plus","pregnancieslt15","pregnancies1517","pregnancies1819","pregnancies1519","pregnancieslt20","pregnancies2024","pregnancies2529","pregnancies3034","pregnancies3539","pregnancies40plus","miscarriageslt15","miscarriages1517","miscarriages1819","miscarriages1519","miscarriageslt20","miscarriages2024","miscarriages2529","miscarriages3034","miscarriages3539","miscarriages40plus","populationlt15","population1517","population1819","population1519","populationlt20","population2024","population2529","population3034","population3539","population40plus","population1544","pregnancyratetotal","miscarriagestotal","pregnanciestotal","notes","versiondate"
"AK",1988,8.8,59.5,185.3,106.3,108.1,241.6,210.8,107.2,50.2,11.3,30,700,1280,1980,2010,4730,4920,3280,1290,210,NA,90,180,270,280,720,770,520,200,30,3795,11702,6920,18622,18622,19566,23353,30614,25727,18755,136637,120.4,2520,16450,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of ID, OR, WA)"," 1 Mar 2021"
"AK",1992,10.5,63,188.9,111.2,113.5,291.5,199.5,114.4,54.1,12.5,40,750,1400,2150,2190,4920,4650,3470,1600,310,NA,110,200,310,320,740,730,550,250,50,4259,11923,7399,19322,19322,16895,23317,30359,29635,24427,143955,119.1,2630,17150,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of ID, OR, WA)"," 1 Mar 2021"
"AK",1996,6.1,45.3,146.7,81.7,83.1,231.5,204.8,106.6,48.5,13.6,30,630,1140,1760,1790,4110,3840,2990,1460,390,NA,90,170,260,260,620,600,470,230,60,4942,13834,7747,21581,21581,17767,18759,28087,30034,28529,144757,100.8,2240,14590,""," 1 Mar 2021"
"AK",2000,5.6,37.8,146.8,74.7,75.9,208.8,181,122.9,53.5,14.1,30,590,1180,1780,1810,3930,3730,2740,1450,400,NA,90,180,270,270,600,590,430,230,60,5458,15737,8043,23780,23780,18825,20624,22298,27050,28587,141164,99.6,2180,14060,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally"," 1 Mar 2021"
"AK",2005,5.1,30.1,128.1,65.2,66.3,189.8,184.6,129.8,64.4,18.2,30,500,1190,1690,1720,4480,4000,2770,1440,480,NA,70,180,250,250,680,630,440,230,70,5612,16686,9316,26002,26002,23591,21690,21308,22382,26611,141584,105.2,2300,14890,""," 1 Mar 2021"
"AK",2006,3.4,30.8,131,66.6,67.2,193.9,187,132.5,69.4,16.3,20,520,1230,1750,1770,4700,4210,2780,1580,420,NA,80,180,260,260,720,660,440,250,60,5328,16927,9396,26323,26323,24261,22535,21020,22738,25488,142365,108.6,2410,15470,""," 1 Mar 2021"
"AK",2007,2.9,29.4,134.1,67.2,67.8,193,185,133,64.6,17.3,20,490,1260,1750,1770,4700,4330,2790,1460,420,NA,70,190,260,260,730,680,440,230,60,5177,16654,9401,26055,26055,24336,23398,20973,22611,24314,141687,109.1,2410,15460,""," 1 Mar 2021"
"AK",2008,4.3,32.7,128.4,69.3,70.2,197.6,188.3,135.6,66,18,20,520,1260,1780,1800,4740,4580,2880,1470,420,NA,70,190,270,270,740,720,460,230,60,5064,15857,9828,25685,25685,23984,24323,21240,22330,23185,140747,112.9,2480,15890,""," 1 Mar 2021"
"AK",2009,3.6,30.8,124.6,67.3,68,185.4,184.2,135.5,69.6,16.4,20,480,1240,1720,1740,4520,4660,2990,1550,380,NA,70,190,260,260,700,730,480,240,60,4898,15644,9958,25602,25602,24362,25283,22085,22268,22908,142508,111.1,2470,15830,""," 1 Mar 2021"
"AK",2010,NA,29.5,121.5,64.8,65.1,191.1,177.1,140.4,62.7,17.9,NA,450,1160,1610,1620,4770,4670,3250,1380,400,NA,60,170,230,230,730,740,520,220,60,4922,15330,9522,24852,24852,24958,26392,23122,22032,22540,143896,111.8,2510,16090,""," 1 Mar 2021"
"AK",2011,3.4,23.3,118.8,59.2,59.9,182.4,172.4,134.2,71.2,17.1,20,350,1080,1430,1450,4680,4700,3240,1530,390,NA,50,160,210,210,720,740,520,240,60,4935,15092,9094,24186,24186,25647,27295,24107,21447,22655,145337,110,2490,15980,""," 1 Mar 2021"
"AK",2012,3.3,20,114.8,55,55.7,163.8,166,134.4,70,19.6,20,300,1000,1290,1310,4310,4570,3350,1520,440,NA,40,150,190,190,660,720,540,240,70,4864,14879,8677,23556,23556,26292,27535,24932,21713,22552,146580,105.8,2430,15500,""," 1 Mar 2021"
"AK",2013,4.4,19.6,96.1,47.8,48.7,159.3,170.4,137.5,71.1,18.8,20,290,820,1110,1130,4230,4780,3550,1550,420,NA,40,120,170,170,660,760,570,250,70,4917,14632,8531,23163,23163,26551,28049,25795,21783,22265,147606,106.1,2460,15650,""," 1 Mar 2021"
"AK",2014,3.2,16,93.4,44.3,45,160.4,167.3,140,67,17.8,20,230,780,1010,1030,4160,4730,3700,1470,380,NA,30,120,150,150,650,750,590,240,60,4923,14466,8335,22801,22801,25951,28238,26432,21999,21586,147007,105.2,2440,15470,""," 1 Mar 2021"
"AK",2015,NA,15.6,95,44.1,44.4,151.5,164.6,139.4,72,16.8,NA,220,760,990,1000,3830,4690,3730,1630,350,NA,30,120,150,150,600,750,600,260,50,4792,14369,8036,22405,22405,25296,28473,26786,22617,20917,146494,104,2410,15230,""," 1 Mar 2021"
"AK",2016,2.8,14.4,84.7,39.6,40.2,145.5,161.9,140.8,72.6,17,10,210,680,890,900,3540,4700,3850,1710,350,NA,30,100,130,140,550,750,620,270,50,4765,14383,8009,22392,22392,24318,29058,27341,23534,20369,147012,102.3,2390,15050,""," 1 Mar 2021"
"AK",2017,3.6,13.5,70.2,33.7,34.5,135,152.7,132.8,71.1,19.1,20,190,550,740,760,3140,4470,3620,1720,390,NA,30,80,110,110,490,710,580,270,60,4772,14246,7864,22110,22110,23263,29239,27239,24180,20338,146369,96.3,2230,14090,"Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health."," 1 Mar 2021"
"AL",1988,21.3,78.3,155.7,110.5,114.3,186.5,152.5,87.2,31.9,6.1,610,7440,10560,18000,18610,30410,25890,14470,4820,800,80,1050,1520,2570,2660,4520,3950,2210,710,110,28846,95042,67806,162848,162848,163053,169778,165953,150994,132391,945017,100.5,14160,95000,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of GA, MS)"," 1 Mar 2021"
"AL",1992,23.6,76.3,173.4,116.4,120.9,184.2,155,87.2,32,6.5,700,6820,10890,17710,18410,30390,24210,14820,5380,990,90,990,1610,2610,2700,4540,3740,2300,800,140,29578,89378,62837,152215,152215,164977,156176,169904,168060,152130,963462,97.8,14220,94200,""," 1 Mar 2021"
"AL",1996,18.5,66.2,156.2,102.4,106,176.6,143.2,90.5,34.6,6.9,580,6370,10120,16490,17070,27620,22430,14650,6100,1150,80,960,1520,2480,2560,4150,3480,2300,930,170,31436,96187,64756,160943,160943,156405,156680,161922,176144,167319,979413,90.9,13590,89020,""," 1 Mar 2021"
