Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,88921,103417,116453,126856,136250,144510,151352,158316,171281,186943,208435,230096,249447,270746,287581,283315,301114,317890,346347,365707,373684,388256,405666,446921,484506,503382,516067,531782,552953,586914,6.7
1,Medicaid/Personal Health Care (Millions of Dollars),Region,1,New England,,6676,7418,7768,8896,9917,9893,11035,11792,12517,13198,14338,15921,16219,17814,18898,18565,19772,21097,23289,23383,23833,25512,26113,28519,30368,31616,31577,32910,32767,34183,5.8
1,Medicaid/Personal Health Care (Millions of Dollars),Region,2,Mideast,,24821,28301,30979,33776,36246,39010,40094,42249,45628,49111,51654,57695,63150,66943,71081,71508,73382,76198,81156,84403,88672,87340,88864,97912,103253,109981,117574,122226,123410,125408,5.7
1,Medicaid/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,13820,16525,18627,19492,20502,21889,23159,22560,24674,26924,29994,32312,34767,36959,40152,37736,41670,43296,49395,51876,49726,52941,56964,62039,66741,68168,70092,70563,74817,83497,6.4
1,Medicaid/Personal Health Care (Millions of Dollars),Region,4,Plains,,5548,6569,7205,7910,8380,8867,9093,9893,10508,12071,13192,15030,15847,17519,18429,18402,19440,20475,22251,23101,24117,25535,26266,27973,29466,30255,31077,32582,33444,34551,6.5
1,Medicaid/Personal Health Care (Millions of Dollars),Region,5,Southeast,,17662,21016,24393,26765,28885,29684,31318,32794,34807,39845,46349,50245,54508,61447,63168,60981,64898,68548,73704,78449,78815,81125,83909,90551,93706,94804,101061,103816,109342,114627,6.7
1,Medicaid/Personal Health Care (Millions of Dollars),Region,6,Southwest,,6828,8380,9596,10587,11171,12026,12273,12657,13689,14527,16754,19577,21761,24069,26897,27508,30493,32815,37086,40114,40567,40015,41934,46999,50702,52450,52345,53853,56166,61125,7.9
1,Medicaid/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,1751,2034,2255,2448,2663,2849,2945,3256,3504,3967,4350,4746,5165,5682,6127,6194,6419,6882,7608,8517,8535,9409,10059,11119,12446,13165,14181,15547,16310,17165,8.2
1,Medicaid/Personal Health Care (Millions of Dollars),Region,8,Far West,,11815,13173,15630,16982,18487,20291,21435,23116,25953,27300,31804,34569,38030,40313,42828,42421,45039,48579,51859,55865,59420,66378,71558,81808,97822,102943,98160,100286,106696,116357,8.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,871,1157,1303,1426,1556,1647,1829,1956,2077,2503,2609,2856,3176,3360,3690,3579,3559,3863,4164,5003,4426,4767,4671,4990,5044,4818,5189,5350,5649,5731,6.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,190,220,277,270,285,320,343,358,388,479,583,705,846,838,923,928,919,941,1062,1101,1230,1303,1267,1338,1456,1860,1959,2007,2127,1942,8.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,778,1048,1184,1334,1349,1426,1515,1608,1908,1869,2514,3160,3762,4356,4976,5424,5886,6565,7562,7915,7171,7090,7340,8374,9022,9455,10356,10419,11464,12760,10.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,804,941,1023,1069,1159,1234,1268,1338,1442,1566,1889,2211,2232,2592,2725,2758,2983,3120,3388,3732,3819,3924,4042,4957,5193,5709,5886,6191,6111,6116,7.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,California,8751,9629,11521,12419,13275,14765,15736,16993,19197,19898,23471,25414,28390,30036,31865,31797,33742,36492,38980,41797,44669,50882,55223,60472,74700,77965,72559,73641,78339,87062,8.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,750,926,1003,1119,1252,1283,1387,1528,1725,1889,2028,2263,2391,2501,2700,2678,2845,3059,3417,3955,4202,4591,4937,6047,7178,7408,7908,9096,9255,9176,9
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,1663,1722,1882,2169,2467,2538,2813,2840,3004,3139,3219,3559,3439,3892,3917,4033,4125,4735,5503,5551,5695,6585,6520,7087,7393,7600,7793,8286,8172,8344,5.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,200,227,257,288,337,392,364,422,432,508,558,603,677,758,810,881,934,1035,1108,1168,1277,1448,1448,1522,1586,1658,1887,1901,1994,2057,8.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,530,583,676,745,717,731,801,853,809,885,862,970,1015,1156,1209,1208,1328,1424,1581,1775,2007,1932,2061,2178,2375,2560,2618,2588,2724,2958,6.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Florida,3235,3851,4473,4858,5285,5360,5594,5945,6301,7193,8139,9486,10779,11880,12184,11761,12390,13246,14340,15908,16160,16575,16885,18309,17454,18261,19322,19707,19948,21532,6.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Georgia,1975,2170,2536,2947,3148,3253,3284,3420,3574,4339,5519,6199,6789,7396,6912,6254,7030,6807,6701,7250,7578,7796,8135,8776,8781,8981,9450,9892,9951,10098,5.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,8,Far West,Hawaii,250,270,336,459,620,543,568,536,567,589,599,685,738,876,981,889,1041,1115,1100,1330,1383,1238,1427,1719,1715,1884,1929,1853,1903,1987,7.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,246,277,305,322,346,398,390,444,500,598,706,750,812,963,987,1005,1090,1151,1250,1466,1286,1505,1609,1555,1631,1632,1743,1887,2010,2435,8.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,2947,4223,4929,5236,5703,6260,6307,6292,6292,7208,7511,8589,9309,9610,11042,9615,11610,11612,13958,15323,12810,13193,15504,15421,16931,15912,17125,16878,17151,21952,7.2
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,1944,2367,2759,2535,2311,2518,2365,2593,2908,3419,3783,4066,3984,4759,5248,4767,5185,5917,5811,5892,5762,7709,7187,8884,8715,9548,10175,10456,11586,12872,6.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Iowa,893,965,1064,1145,1208,1289,1222,1345,1353,1595,1614,1886,2091,2216,2339,2481,2480,2705,2868,2982,3215,3432,3505,3998,4347,4123,3724,4347,4746,4620,5.8
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Kansas,654,764,866,912,902,944,1030,1081,1144,1401,1461,1657,1541,1808,1953,2018,2071,2150,2300,2244,2494,2444,2367,2375,2550,2746,2808,2920,3139,3207,5.6
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Kentucky,1191,1540,1690,1793,1886,2047,2355,2451,2591,3075,3264,3573,3511,4161,4026,4064,4403,4472,5194,5237,5231,5116,5310,7539,8437,8061,8664,8807,9144,10143,7.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,5,Southeast,Louisiana,1992,2338,3073,3317,3080,2674,2790,2625,2685,2821,3431,3407,3897,4476,4944,4889,5335,5777,6255,6491,6341,6626,7043,7093,7554,8313,9555,9815,10435,11087,6.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Maine,521,632,750,801,822,893,977,1117,1142,1199,1321,1499,1788,1981,2034,2015,2011,2126,2443,1983,2281,2309,2504,2358,2406,2432,2574,2663,2879,3105,6.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,1516,1738,1875,2074,2196,2305,2387,2452,2814,2853,3136,3449,4247,4539,4824,4796,5044,5271,6078,6646,6896,6979,7265,8778,8668,9849,10093,10458,10861,11010,7.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,3463,3747,3724,4418,4963,4800,5336,5788,6170,6518,7113,7969,7983,8396,9311,8780,9790,10234,11073,11463,11604,12376,12593,13932,15146,15958,15393,16107,15953,16678,5.6
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Michigan,3066,3327,3849,4220,4587,4921,5922,4826,6239,5606,6514,6094,6923,7203,7520,7580,8538,9058,9571,10512,10683,10990,11529,12488,14132,15316,14232,15077,16530,17068,6.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,4,Plains,Minnesota,1857,1973,2197,2414,2592,2668,2657,2806,2987,3296,3790,4435,4628,5144,5298,5355,5902,6191,6774,7238,7649,8090,8682,9619,9759,10121,11003,11630,11527,12066,6.7
