Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,117123,132191,145978,163101,179427,193018,203362,201562,206035,216333,239111,256551,274001,300096,326278,382298,408709,442013,470087,488820,511849,533641,553568,579475,606249,628875,658998,696557,744924,754521,6.6
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6788,7712,8617,9517,10565,11433,11831,11515,11683,12284,13489,14221,15081,16432,17443,20348,21772,23260,24658,25457,26531,27588,28584,30083,31380,32456,33708,35382,37455,36906,6
1,Medicare/Personal Health Care (Millions of Dollars),Region,2,Mideast,,24981,27007,29864,32392,35051,37285,39369,40024,41188,43339,47431,50203,52179,55726,60243,69817,74867,80276,84295,86784,90559,93113,95973,99987,103554,106539,110440,115750,122328,121589,5.6
1,Medicare/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,19074,21597,23400,26086,28628,30465,31919,31810,32126,33812,37817,40327,43228,47583,51683,60179,64165,69251,73358,75883,79214,81977,84883,88411,91185,94220,98507,103417,109588,109634,6.2
1,Medicare/Personal Health Care (Millions of Dollars),Region,4,Plains,,7650,8620,9276,10204,11176,11845,12461,12428,12764,13518,15118,16130,17198,18856,20523,24271,25827,27527,28919,30061,31312,32792,34091,35927,37593,38893,41323,43739,46141,46783,6.4
1,Medicare/Personal Health Care (Millions of Dollars),Region,5,Southeast,,29336,33925,37502,42744,47171,51028,53795,52560,53828,56527,62753,67635,72980,81054,88151,104023,111402,120477,128629,134072,140354,146687,151706,158491,166066,172083,180703,191482,206468,210918,7
1,Medicare/Personal Health Care (Millions of Dollars),Region,6,Southwest,,9843,11406,12807,15065,17323,19210,20611,19900,19686,20524,22635,24782,27170,30536,33916,40206,43279,46654,50144,52711,55276,57773,59958,63075,66358,69124,72976,77929,84429,86915,7.8
1,Medicare/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,2338,2687,3018,3402,3852,4149,4364,4287,4476,4729,5249,5685,6196,6928,7596,8952,9581,10302,11091,11698,12328,13156,13763,14806,15709,16536,17780,19132,20682,21203,7.9
1,Medicare/Personal Health Care (Millions of Dollars),Region,8,Far West,,17114,19237,21492,23690,25661,27603,29012,29038,30283,31602,34619,37566,39969,42982,46722,54502,57816,64266,68992,72155,76275,80555,84609,88697,94404,99024,103561,109727,117832,120573,7
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,2045,2382,2634,2955,3243,3445,3619,3403,3522,3683,4061,4394,4758,5278,5701,6735,7140,7665,8036,8301,8591,8968,9275,9704,10157,10485,10987,11644,12497,12755,6.5
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,90,105,117,133,160,174,186,183,197,216,235,260,287,349,373,418,439,484,540,562,608,640,692,747,787,869,928,1011,1105,1105,9
1,Medicare/Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,1786,1916,2123,2353,2583,2813,2929,2890,3027,3244,3622,3976,4407,4993,5611,6661,7242,7873,8470,8940,9547,10063,10549,11074,11716,12276,13270,14241,15231,15704,7.8
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,1243,1334,1409,1596,1770,1900,2005,2004,1990,2097,2371,2529,2714,2987,3266,3834,4153,4393,4620,4750,4964,5162,5290,5511,5759,6003,6330,6728,7200,7293,6.3
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,California,13085,14656,16526,18257,19704,21222,22202,22239,23058,23783,25819,27972,29675,31547,34413,40113,42365,47383,50700,53008,55969,58929,61833,64445,68562,71628,74508,78745,84590,86833,6.7
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,1122,1284,1433,1635,1851,2012,2104,2068,2183,2262,2469,2718,2951,3291,3620,4220,4499,4852,5239,5539,5810,6210,6450,6977,7407,7791,8354,9007,9672,9926,7.8
