Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,198887,199231,197216,196220,196860,197844,198052,196497,190924,188337,187791,190899,190964,194711,200283,201726,202074,200553,201998,200287,0
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,10469,10482,10384,10270,10351,10355,10394,10319,10023,9867,9797,9840,9746,9701,9856,9866,9820,9760,9750,9401,-0.6
11,Private Health Insurance Enrollee Population (Thousands),Region,2,Mideast,,33645,33781,33273,33411,33564,33041,32524,32448,31683,31152,30968,31499,31222,31391,31814,31723,31819,31295,31273,30940,-0.4
11,Private Health Insurance Enrollee Population (Thousands),Region,3,Great Lakes,,34513,34459,33768,33351,33019,33481,32904,32171,30793,30174,29988,30397,30242,30500,31033,31094,30930,30563,30722,30324,-0.7
11,Private Health Insurance Enrollee Population (Thousands),Region,4,Plains,,14972,15175,14950,14540,14738,14391,14589,14321,13986,13962,13856,14007,14042,14212,14486,14537,14492,14246,14302,14349,-0.2
11,Private Health Insurance Enrollee Population (Thousands),Region,5,Southeast,,47008,46771,47050,46393,46322,47143,47597,47052,45749,45105,44996,45817,45751,47057,49004,49662,49603,49419,49754,49638,0.3
11,Private Health Insurance Enrollee Population (Thousands),Region,6,Southwest,,19902,19369,19224,19791,19933,20215,20223,20351,19978,19854,19959,20459,20802,21766,22787,23082,23226,23178,23503,23014,0.8
11,Private Health Insurance Enrollee Population (Thousands),Region,7,Rocky Mountains,,6786,6809,6722,6905,6995,7102,7374,7563,7471,7405,7447,7542,7675,7854,8152,8265,8289,8413,8603,8528,1.2
11,Private Health Insurance Enrollee Population (Thousands),Region,8,Far West,,31592,32384,31845,31561,31938,32115,32448,32272,31240,30817,30781,31339,31484,32230,33151,33496,33896,33679,34091,34093,0.4
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Alabama,3128,3122,3058,2976,2943,3065,3115,3145,3061,3019,3001,3078,3037,3080,3148,3182,3124,3093,3122,2930,-0.3
11,Private Health Insurance Enrollee Population (Thousands),State,8,Far West,Alaska,414,392,396,406,403,419,419,409,404,418,419,417,454,423,426,425,398,427,422,414,0
11,Private Health Insurance Enrollee Population (Thousands),State,6,Southwest,Arizona,3542,3534,3553,3551,3497,3662,3813,3793,3710,3554,3514,3601,3673,3782,3931,3960,4045,4047,4144,4138,0.8
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Arkansas,1671,1616,1589,1622,1668,1612,1668,1577,1560,1539,1566,1576,1556,1609,1657,1662,1637,1613,1604,1575,-0.3
11,Private Health Insurance Enrollee Population (Thousands),State,8,Far West,California,21901,22979,22458,21906,22053,22138,22218,22243,21533,21168,21146,21529,21621,22243,22819,22976,23319,23133,23283,23500,0.4
11,Private Health Insurance Enrollee Population (Thousands),State,7,Rocky Mountains,Colorado,3219,3214,3099,3220,3280,3312,3369,3341,3306,3272,3279,3320,3365,3430,3536,3570,3585,3669,3758,3674,0.7
11,Private Health Insurance Enrollee Population (Thousands),State,1,New England,Connecticut,2669,2645,2610,2600,2674,2612,2625,2533,2454,2437,2407,2390,2340,2327,2369,2362,2333,2288,2252,2085,-1.3
11,Private Health Insurance Enrollee Population (Thousands),State,2,Mideast,Delaware,620,608,628,592,601,626,625,608,592,593,598,614,598,618,633,645,662,633,630,579,-0.4
11,Private Health Insurance Enrollee Population (Thousands),State,2,Mideast,District of Columbia,375,379,364,361,340,378,392,399,392,403,411,425,425,423,454,444,455,464,482,475,1.3
11,Private Health Insurance Enrollee Population (Thousands),State,5,Southeast,Florida,10611,10615,10952,10756,10995,11049,11102,10720,10295,10109,10038,10200,10153,10675,11446,11713,11810,11933,12115,12344,0.8
