Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
1,Personal Health Care (Millions of Dollars),United States,0,United States,,672711,728437,775720,817952,866811,915029,966064,1019653,1079208,1157014,1257063,1366087,1476505,1582999,1694411,1806963,1922157,2007967,2106233,2181261,2254675,2346962,2405667,2527325,2674089,2795322,2905160,3021796,3175230,3357832,5.7
1,Personal Health Care (Millions of Dollars),Region,1,New England,,40981,43705,46452,48478,52029,54760,58092,62148,65048,69388,75434,82193,88618,95122,101227,108472,115485,121097,127743,130858,134084,138405,141505,146939,154957,161532,166153,172783,180021,188974,5.4
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,135126,146315,155597,164420,173157,180512,189043,197882,210031,222895,240500,259892,281047,299190,317484,335952,354565,367107,385989,400739,414205,424773,437249,458170,481439,505965,528624,551923,578722,613211,5.4
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,112461,121265,129054,135860,143812,151683,158844,165707,174828,187589,203508,219640,235677,251683,267060,284375,300839,309471,324367,335104,343926,357464,364541,380858,396851,411931,424240,435750,457486,478682,5.1
1,Personal Health Care (Millions of Dollars),Region,4,Plains,,45761,49118,52134,56024,59449,63197,66931,71895,76185,82337,89218,96967,104150,110536,117225,123940,132592,138683,144328,149731,155601,161775,165072,171981,180290,187565,192945,200391,209318,220945,5.6
1,Personal Health Care (Millions of Dollars),Region,5,Southeast,,152718,166297,178791,190018,202906,216473,231466,242169,256930,278482,302326,327734,354643,384435,410689,438885,465083,485420,509574,524093,539737,564720,576965,609971,645801,675415,705209,730193,766636,811169,5.9
1,Personal Health Care (Millions of Dollars),Region,6,Southwest,,60864,66394,71160,75136,80609,86450,92627,97982,104901,112141,122800,135362,145187,155557,172105,185112,197852,210663,222392,231166,239685,251069,256312,272547,291699,304396,317009,327818,345211,368137,6.4
1,Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,17016,18455,19792,20974,22644,24253,26047,28036,29757,32917,35893,39412,42639,45723,48704,52832,56735,59470,62253,64413,66870,69921,72306,76615,81815,86114,90853,96317,100936,106616,6.5
1,Personal Health Care (Millions of Dollars),Region,8,Far West,,107783,116888,122741,127041,132207,137702,143014,153835,161530,171265,187384,204888,224543,240753,259917,277394,299006,316055,329586,345157,360567,378834,391717,410245,441238,462403,480126,506621,536898,570099,5.9
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,10342,11233,11973,12652,13481,14363,15401,15723,16344,17459,18576,20219,22493,23734,25343,26699,27765,28781,30078,30655,31262,32740,33670,35248,37172,38778,39778,40810,42903,45673,5.3
1,Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,1456,1551,1651,1805,1865,2061,2220,2363,2546,2863,3272,3642,3955,4249,4722,5013,5390,5716,5975,6373,6749,7257,7439,7765,8462,8734,9116,9352,9702,9975,6.9
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,9221,9762,10611,11319,11946,12773,13337,14332,15413,16645,18116,20459,22539,24813,28264,30911,33560,35656,37282,38573,39329,40692,41728,44177,47043,49926,53135,55997,59392,64980,7
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,5603,5993,6378,6768,7329,7795,8361,8757,9326,9934,10788,11785,12583,13417,14567,15413,16400,17204,18027,18636,19237,19999,20188,21624,22706,24172,25260,25740,26744,28300,5.7
1,Personal Health Care (Millions of Dollars),State,8,Far West,California,81015,87555,91654,93934,96633,100130,103327,110559,115105,121218,132080,143994,158409,169543,182624,194303,209334,220894,229415,241845,253703,267048,277008,288330,311146,325931,338088,357648,379715,405451,5.7
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,8402,9156,9735,10331,11109,11829,12505,13674,14640,16298,17676,19198,20764,22121,22936,24992,26708,27835,29138,29941,31042,32311,33544,35757,38589,40595,42777,45566,47715,49849,6.3
1,Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,10915,11603,12048,12695,13588,14109,14933,15865,16690,17626,19023,20522,21661,23474,24506,25997,27511,29056,31062,31608,31975,33181,33944,35350,36941,38322,39289,40671,42190,44425,5
