Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
11,Population (Thousands),United States,0,United States,,252981,256514,259919,263126,266278,269394,272647,275854,279040,282162,284969,287625,290108,292805,295517,298380,301231,304094,306772,309327,311583,313878,316060,318386,320739,323072,325122,326838,328330,329484,0.9
11,Population (Thousands),Region,1,New England,,13248,13271,13334,13396,13473,13555,13642,13734,13838,13950,14041,14122,14182,14207,14217,14246,14279,14340,14404,14470,14533,14594,14649,14708,14735,14765,14807,14840,14850,14847,0.4
11,Population (Thousands),Region,2,Mideast,,44071,44392,44717,44970,45186,45384,45580,45822,46106,46386,46619,46841,47035,47162,47239,47334,47474,47685,47944,48205,48444,48629,48765,48870,48925,48943,48960,48958,48893,48758,0.3
11,Population (Thousands),Region,3,Great Lakes,,42496,42903,43275,43590,43924,44239,44494,44728,44969,45216,45402,45550,45708,45844,45949,46072,46188,46275,46356,46439,46520,46592,46699,46773,46791,46829,46878,46901,46904,46835,0.3
11,Population (Thousands),Region,4,Plains,,17843,18026,18210,18381,18550,18705,18851,18988,19131,19275,19375,19468,19569,19688,19803,19957,20106,20249,20393,20537,20644,20756,20878,20993,21095,21189,21283,21362,21436,21482,0.6
11,Population (Thousands),Region,5,Southeast,,60501,61508,62531,63574,64602,65611,66655,67627,68569,69497,70318,71152,71962,73019,74148,75066,76123,77058,77815,78574,79217,79921,80563,81267,82063,82933,83703,84368,84999,85566,1.2
11,Population (Thousands),Region,6,Southwest,,25917,26491,27116,27772,28420,29020,29625,30240,30827,31381,31892,32431,32924,33475,34098,34945,35624,36269,36899,37474,37988,38547,39061,39665,40302,40880,41366,41826,42339,42869,1.8
11,Population (Thousands),Region,7,Rocky Mountains,,7477,7696,7939,8171,8380,8565,8746,8918,9094,9269,9431,9567,9675,9808,9972,10190,10406,10610,10794,10949,11086,11225,11378,11529,11708,11900,12075,12245,12401,12547,1.8
11,Population (Thousands),Region,8,Far West,,41428,42226,42798,43271,43745,44314,45054,45798,46506,47188,47891,48493,49053,49602,50090,50571,51031,51609,52168,52681,53151,53614,54068,54581,55120,55633,56052,56338,56508,56580,1.1
11,Population (Thousands),State,5,Southeast,Alabama,4099,4154,4214,4260,4297,4331,4368,4405,4430,4452,4468,4480,4503,4531,4570,4629,4673,4718,4758,4786,4800,4817,4832,4844,4855,4867,4878,4892,4908,4922,0.6
11,Population (Thousands),State,8,Far West,Alaska,570,589,599,603,604,609,613,620,625,628,634,642,648,659,667,675,680,687,699,714,722,731,738,737,738,743,741,737,734,731,0.9
11,Population (Thousands),State,6,Southwest,Arizona,3789,3916,4065,4245,4432,4587,4737,4883,5024,5161,5273,5396,5510,5652,5839,6029,6168,6280,6343,6407,6473,6556,6635,6733,6833,6945,7048,7164,7292,7421,2.3
11,Population (Thousands),State,5,Southeast,Arkansas,2383,2416,2456,2494,2535,2572,2601,2626,2652,2679,2692,2706,2725,2750,2781,2822,2849,2875,2897,2922,2941,2953,2960,2969,2980,2992,3004,3012,3021,3031,0.8
11,Population (Thousands),State,8,Far West,California,30471,30975,31275,31484,31697,32019,32486,32988,33499,33988,34479,34872,35253,35575,35828,36021,36250,36604,36961,37320,37636,37945,38254,38587,38904,39149,39338,39437,39438,39368,0.9
11,Population (Thousands),State,7,Rocky Mountains,Colorado,3387,3496,3614,3724,3827,3920,4018,4117,4226,4327,4426,4490,4529,4575,4632,4720,4804,4890,4972,5048,5122,5194,5271,5353,5454,5544,5617,5697,5758,5808,1.9
11,Population (Thousands),State,1,New England,Connecticut,3303,3301,3309,3316,3324,3337,3349,3365,3386,3412,3433,3459,3484,3496,3507,3517,3527,3546,3562,3579,3589,3595,3596,3596,3589,3580,3575,3575,3566,3557,0.3
11,Population (Thousands),State,2,Mideast,Delaware,683,695,706,718,730,741,751,763,775,786,796,806,818,831,845,859,872,884,892,900,908,916,924,933,942,950,958,967,977,987,1.3
11,Population (Thousands),State,2,Mideast,District of Columbia,601,598,595,589,581,572,568,565,570,572,575,573,569,568,567,571,574,580,592,605,620,636,652,664,677,688,697,704,708,713,0.6
11,Population (Thousands),State,5,Southeast,Florida,13370,13651,13927,14239,14538,14853,15186,15487,15759,16048,16357,16689,17004,17415,17842,18167,18368,18527,18653,18846,19056,19302,19552,19854,20219,20627,20977,21255,21492,21733,1.7
11,Population (Thousands),State,5,Southeast,Georgia,6653,6817,6978,7157,7328,7501,7685,7864,8046,8227,8377,8508,8623,8769,8926,9156,9350,9505,9621,9712,9804,9904,9976,10071,10183,10308,10417,10519,10628,10710,1.7
11,Population (Thousands),State,8,Far West,Hawaii,1137,1159,1173,1188,1197,1204,1212,1215,1210,1214,1226,1240,1251,1274,1293,1310,1316,1332,1347,1364,1380,1395,1409,1415,1423,1429,1426,1423,1416,1407,0.7
11,Population (Thousands),State,7,Rocky Mountains,Idaho,1041,1072,1109,1145,1177,1203,1229,1252,1276,1299,1320,1340,1363,1392,1428,1469,1505,1534,1554,1571,1584,1596,1612,1632,1652,1684,1720,1752,1789,1827,2
11,Population (Thousands),State,3,Great Lakes,Illinois,11569,11694,11810,11913,12008,12102,12186,12272,12359,12434,12488,12526,12556,12590,12610,12644,12696,12747,12797,12841,12868,12883,12896,12885,12860,12822,12780,12725,12667,12588,0.3
11,Population (Thousands),State,3,Great Lakes,Indiana,5616,5675,5739,5794,5851,5906,5955,5999,6045,6092,6128,6156,6197,6233,6279,6333,6380,6425,6459,6491,6517,6539,6571,6596,6611,6638,6662,6698,6731,6755,0.6
11,Population (Thousands),State,4,Plains,Iowa,2798,2818,2837,2851,2867,2880,2891,2903,2918,2929,2932,2934,2942,2954,2964,2983,2999,3017,3033,3051,3067,3077,3094,3111,3123,3133,3144,3150,3160,3164,0.4
11,Population (Thousands),State,4,Plains,Kansas,2499,2532,2557,2581,2601,2615,2635,2661,2678,2694,2702,2714,2723,2734,2745,2763,2784,2808,2833,2858,2870,2886,2894,2902,2911,2913,2911,2913,2913,2914,0.5
11,Population (Thousands),State,5,Southeast,Kentucky,3722,3765,3812,3849,3887,3920,3953,3985,4018,4049,4068,4090,4117,4146,4183,4219,4257,4290,4317,4348,4371,4388,4407,4417,4429,4440,4456,4464,4472,4477,0.6
11,Population (Thousands),State,5,Southeast,Louisiana,4253,4293,4316,4347,4379,4399,4421,4440,4461,4472,4478,4497,4521,4552,4577,4303,4376,4436,4492,4545,4576,4602,4626,4646,4667,4681,4674,4664,4658,4645,0.3
11,Population (Thousands),State,1,New England,Maine,1237,1239,1242,1243,1243,1249,1255,1259,1267,1277,1286,1296,1307,1314,1319,1324,1327,1331,1330,1328,1328,1328,1329,1331,1329,1332,1336,1340,1346,1350,0.3
