state,year,spending,mean_val,AverageAge,Region,race_group
alabama,1999,3689,12.3614321802,N/A,South,Hispanic and any race
alabama,1999,3689,12.3614321802,N/A,South,Non-Hispanic American Indian and Alaska Native
alabama,1999,3689,12.3614321802,N/A,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,1999,3689,12.3614321802,N/A,South,Non-Hispanic Black
alabama,1999,3689,12.3614321802,N/A,South,Non-Hispanic White
alabama,2000,3921,10.5288659848,24.4195917168454,South,Hispanic and any race
alabama,2000,3921,10.5288659848,24.4195917168454,South,Non-Hispanic American Indian and Alaska Native
alabama,2000,3921,10.5288659848,24.4195917168454,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2000,3921,10.5288659848,24.4195917168454,South,Non-Hispanic Black
alabama,2000,3921,10.5288659848,24.4195917168454,South,Non-Hispanic White
alabama,2001,4158,10.6466627174,N/A,South,Hispanic and any race
alabama,2001,4158,10.6466627174,N/A,South,Non-Hispanic American Indian and Alaska Native
alabama,2001,4158,10.6466627174,N/A,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2001,4158,10.6466627174,N/A,South,Non-Hispanic Black
alabama,2001,4158,10.6466627174,N/A,South,Non-Hispanic White
alabama,2002,4513,11.9405072176,N/A,South,Hispanic and any race
alabama,2002,4513,11.9405072176,N/A,South,Non-Hispanic American Indian and Alaska Native
alabama,2002,4513,11.9405072176,N/A,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2002,4513,11.9405072176,N/A,South,Non-Hispanic Black
alabama,2002,4513,11.9405072176,N/A,South,Non-Hispanic White
alabama,2003,4995,13.2346774714,N/A,South,Hispanic and any race
alabama,2003,4995,13.2346774714,N/A,South,Non-Hispanic American Indian and Alaska Native
alabama,2003,4995,13.2346774714,N/A,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2003,4995,13.2346774714,N/A,South,Non-Hispanic Black
alabama,2003,4995,13.2346774714,N/A,South,Non-Hispanic White
alabama,2004,5238,13.9308646202,N/A,South,Hispanic and any race
alabama,2004,5238,13.9308646202,N/A,South,Non-Hispanic American Indian and Alaska Native
alabama,2004,5238,13.9308646202,N/A,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2004,5238,13.9308646202,N/A,South,Non-Hispanic Black
alabama,2004,5238,13.9308646202,N/A,South,Non-Hispanic White
alabama,2005,5546,13.9550863928,25.0418393369461,South,Hispanic and any race
alabama,2005,5546,13.9550863928,25.0418393369461,South,Non-Hispanic American Indian and Alaska Native
alabama,2005,5546,13.9550863928,25.0418393369461,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2005,5546,13.9550863928,25.0418393369461,South,Non-Hispanic Black
alabama,2005,5546,13.9550863928,25.0418393369461,South,Non-Hispanic White
alabama,2006,5768,13.668904497,24.9380666974028,South,Hispanic and any race
alabama,2006,5768,13.668904497,24.9380666974028,South,Non-Hispanic American Indian and Alaska Native
alabama,2006,5768,13.668904497,24.9380666974028,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2006,5768,13.668904497,24.9380666974028,South,Non-Hispanic Black
alabama,2006,5768,13.668904497,24.9380666974028,South,Non-Hispanic White
alabama,2007,5942,13.5094949304,25.001442891859,South,Hispanic and any race
alabama,2007,5942,13.5094949304,25.001442891859,South,Non-Hispanic American Indian and Alaska Native
alabama,2007,5942,13.5094949304,25.001442891859,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2007,5942,13.5094949304,25.001442891859,South,Non-Hispanic Black
alabama,2007,5942,13.5094949304,25.001442891859,South,Non-Hispanic White
alabama,2008,6100,13.6855529064,25.0636868920797,South,Hispanic and any race
alabama,2008,6100,13.6855529064,25.0636868920797,South,Non-Hispanic American Indian and Alaska Native
alabama,2008,6100,13.6855529064,25.0636868920797,South,"Non-Hispanic Asian, Native Hawaiian, or Other Pacific Islander"
alabama,2008,6100,13.6855529064,25.0636868920797,South,Non-Hispanic Black
