state,year,spending,mean_val,AverageAge,Region
Alabama,1999,3689,12.3614321802,N/A,South
Alabama,2000,3921,10.5288659848,24.4195917168454,South
Alabama,2001,4158,10.6466627174,N/A,South
Alabama,2002,4513,11.9405072176,N/A,South
Alabama,2003,4995,13.2346774714,N/A,South
Alabama,2004,5238,13.9308646202,N/A,South
Alabama,2005,5546,13.9550863928,25.0418393369461,South
Alabama,2006,5768,13.668904497,24.9380666974028,South
Alabama,2007,5942,13.5094949304,25.001442891859,South
Alabama,2008,6100,13.6855529064,25.0636868920797,South
Alabama,2009,6322,14.192807542,25.1894796380091,South
Alabama,2010,6406,14.8189867154,25.3998132110715,South
Alabama,2011,6513,15.4181556386,25.5595630310387,South
Alabama,2012,6797,16.5987409938,25.7017106200998,South
Alabama,2013,6969,18.6480842576,25.9157488986784,South
Alabama,2014,7277,21.6837735786,26.1406702898551,South
Alabama,2015,7657,26.0807826814,26.2760217983651,South
Alabama,2016,7968,33.0375856976,26.4152698471173,South
Alabama,2017,8154,40.8611563772,26.5249163257717,South
Alabama,2018,8343,42.259984294800006,N/A,South
Alabama,2019,8741,34.7649824036,N/A,South
Alaska,1999,4076,10.6964672602,N/A,West
Alaska,2000,4559,8.673893975,25.2395084324748,West
Alaska,2001,5163,8.9365872634,N/A,West
Alaska,2002,5671,10.6321511526,N/A,West
Alaska,2003,6100,12.347729474,N/A,West
Alaska,2004,6445,13.5599372812,N/A,West
Alaska,2005,7081,14.315669505,25.9222147651007,West
Alaska,2006,7423,14.6652766358,25.9212774346169,West
Alaska,2007,7923,15.1305896566,25.8660100475939,West
Alaska,2008,8314,15.873213137,25.9158622488912,West
Alaska,2009,8550,15.974940777,26.055056932351,West
Alaska,2010,8927,15.0893994286,26.0337071061875,West
Alaska,2011,9343,13.6805914754,26.2513205448985,West
Alaska,2012,9930,13.4416521472,26.4934650014522,West
Alaska,2013,10085,14.47718453,26.7793549346017,West
Alaska,2014,10535,16.6765571322,26.7961927783653,West
Alaska,2015,11460,19.4812292966,26.8967781340663,West
Alaska,2016,11761,23.770380042,27.1242738263464,West
Alaska,2017,12303,30.068097552,27.4059555854643,West
Alaska,2018,12695,33.824833554,N/A,West
Alaska,2019,13226,31.3668421804,N/A,West
Arizona,1999,3068,14.796820842,N/A,West
Arizona,2000,3225,15.138475884,24.9009907120743,West
Arizona,2001,3435,15.4808435118,N/A,West
Arizona,2002,3791,15.1896731194,N/A,West
Arizona,2003,4090,14.590098076,N/A,West
Arizona,2004,4390,14.8306873904,N/A,West
Arizona,2005,4841,16.373156217400002,25.4278048171721,West
Arizona,2006,5127,17.7849257054,25.4562975693592,West
Arizona,2007,5441,18.2963620232,25.5627515090543,West
Arizona,2008,5677,18.2310372068,25.6993861024033,West
Arizona,2009,5877,20.0240650686,25.9298245614035,West
Arizona,2010,6020,24.408525984,26.2275189599133,West
Arizona,2011,6075,31.238673868,26.4348513598988,West
Arizona,2012,6207,36.063775944,26.5896363051175,West
Arizona,2013,6289,37.600356452,26.7719444908878,West
Arizona,2014,6561,36.718121452,27.0478371501272,West
Arizona,2015,6885,35.95483417,27.2336015392689,West
Arizona,2016,7189,34.763465782,27.3652742918609,West
Arizona,2017,7539,34.767779673999996,27.4816487859966,West
Arizona,2018,7816,41.93255064,N/A,West
Arizona,2019,8145,61.029104568,N/A,West
Arkansas,1999,3517,18.1079592198,N/A,South
Arkansas,2000,3709,16.3916330022,24.0636591109803,South
Arkansas,2001,4008,16.305182985800002,N/A,South
Arkansas,2002,4355,17.2690293644,N/A,South
Arkansas,2003,4618,18.048226001,N/A,South
Arkansas,2004,4879,18.455170073,N/A,South
Arkansas,2005,5238,18.6980546802,24.6424471299094,South
Arkansas,2006,5462,19.9036103256,24.5477507643034,South
Arkansas,2007,5757,23.0409093056,24.6460234680574,South
Arkansas,2008,5985,28.7632336854,24.6948474977791,South
Arkansas,2009,6223,34.4867750512,24.7307633587786,South
Arkansas,2010,6378,38.081100320800005,24.9730396055352,South
Arkansas,2011,6541,38.1022505764,25.150952534711,South
Arkansas,2012,6773,37.367874402,25.3859082629574,South
Arkansas,2013,6819,37.480935207399995,25.5204150497722,South
Arkansas,2014,7284,38.8732516832,25.775216873618,South
Arkansas,2015,7620,40.2232011626,25.9091297657719,South
Arkansas,2016,8079,41.5058490622,26.0354434843943,South
Arkansas,2017,8409,42.9023540288,26.1229773462783,South
Arkansas,2018,8545,43.2128089464,N/A,South
