state,year,spending,mean_val,AverageAge,Region
Alabama,2000,3921,10.5288659848,24,South
Alabama,2005,5546,13.9550863928,25,South
Alabama,2006,5768,13.668904497,24,South
Alabama,2007,5942,13.5094949304,25,South
Alabama,2008,6100,13.6855529064,25,South
Alabama,2009,6322,14.192807542,25,South
Alabama,2010,6406,14.8189867154,25,South
Alabama,2011,6513,15.4181556386,25,South
Alabama,2012,6797,16.5987409938,25,South
Alabama,2013,6969,18.6480842576,25,South
Alabama,2014,7277,21.6837735786,26,South
Alabama,2015,7657,26.0807826814,26,South
Alabama,2016,7968,33.0375856976,26,South
Alabama,2017,8154,40.8611563772,26,South
Alaska,2000,4559,8.673893975,25,West
Alaska,2005,7081,14.315669505,25,West
Alaska,2006,7423,14.6652766358,25,West
Alaska,2007,7923,15.1305896566,25,West
Alaska,2008,8314,15.873213137,25,West
Alaska,2009,8550,15.974940777,26,West
Alaska,2010,8927,15.0893994286,26,West
Alaska,2011,9343,13.6805914754,26,West
Alaska,2012,9930,13.4416521472,26,West
Alaska,2013,10085,14.47718453,26,West
Alaska,2014,10535,16.6765571322,26,West
Alaska,2015,11460,19.4812292966,26,West
Alaska,2016,11761,23.770380042,27,West
Alaska,2017,12303,30.068097552,27,West
Arizona,2000,3225,15.138475884,24,West
Arizona,2005,4841,16.373156217400002,25,West
Arizona,2006,5127,17.7849257054,25,West
Arizona,2007,5441,18.2963620232,25,West
Arizona,2008,5677,18.2310372068,25,West
Arizona,2009,5877,20.0240650686,25,West
Arizona,2010,6020,24.408525984,26,West
Arizona,2011,6075,31.238673868,26,West
Arizona,2012,6207,36.063775944,26,West
Arizona,2013,6289,37.600356452,26,West
Arizona,2014,6561,36.718121452,27,West
Arizona,2015,6885,35.95483417,27,West
Arizona,2016,7189,34.763465782,27,West
Arizona,2017,7539,34.767779673999996,27,West
Arkansas,2000,3709,16.3916330022,24,South
Arkansas,2005,5238,18.6980546802,24,South
Arkansas,2006,5462,19.9036103256,24,South
Arkansas,2007,5757,23.0409093056,24,South
Arkansas,2008,5985,28.7632336854,24,South
Arkansas,2009,6223,34.4867750512,24,South
Arkansas,2010,6378,38.081100320800005,24,South
Arkansas,2011,6541,38.1022505764,25,South
Arkansas,2012,6773,37.367874402,25,South
Arkansas,2013,6819,37.480935207399995,25,South
Arkansas,2014,7284,38.8732516832,25,South
Arkansas,2015,7620,40.2232011626,25,South
Arkansas,2016,8079,41.5058490622,26,South
Arkansas,2017,8409,42.9023540288,26,South
California,2000,3567,11.7646265492,25,West
California,2005,5097,36.39010255,26,West
California,2006,5394,36.961188056,26,West
California,2007,5775,33.501947197999996,26,West
California,2008,6035,28.016219816,26,West
California,2009,6207,25.343964726,26,West
California,2010,6480,24.990231498,26,West
California,2011,6741,25.497714824,27,West
California,2012,7038,25.318893138,27,West
California,2013,7241,25.081713946,27,West
California,2014,7472,25.255855928,28,West
California,2015,7998,25.904691166,28,West
California,2016,8325,26.690036398000004,28,West
California,2017,8594,27.137880806,28,West
Colorado,2000,3767,12.2247110084,25,West
Colorado,2005,4952,16.756498348,26,West
Colorado,2006,5295,16.6818550496,26,West
Colorado,2007,5560,15.6236991994,26,West
Colorado,2008,5692,14.1252746834,26,West
Colorado,2009,5860,13.9073821382,26,West
Colorado,2010,5932,15.1288884508,26,West
Colorado,2011,6061,17.3073777462,27,West
Colorado,2012,6221,19.990332306,27,West
Colorado,2013,6364,23.9357689262,27,West
Colorado,2014,6680,28.963033294,27,West
Colorado,2015,7075,32.411106128,27,West
Colorado,2016,7323,33.817189570000004,28,West
Colorado,2017,7615,33.147697281999996,28,West
Connecticut,2000,5166,8.5419348518,26,Northeast
Connecticut,2005,6988,12.3892852058,26,Northeast
Connecticut,2006,7391,14.0386746056,26,Northeast
Connecticut,2007,7799,14.9226190306,27,Northeast
Connecticut,2008,8195,15.2853067134,27,Northeast
Connecticut,2009,8721,16.1373049198,27,Northeast
Connecticut,2010,8831,17.484266526,27,Northeast
Connecticut,2011,8910,18.900174347,27,Northeast
Connecticut,2012,9229,19.2963124622,28,Northeast
Connecticut,2013,9440,18.626747672,28,Northeast
Connecticut,2014,9831,17.739165609,28,Northeast
Connecticut,2015,10294,18.1476743472,28,Northeast
Connecticut,2016,10705,19.851377803,29,Northeast
Connecticut,2017,10989,21.4907678328,29,Northeast
Delaware,2000,4752,8.7708537588,25,South
Delaware,2005,6946,11.473603145599998,25,South
Delaware,2006,7301,12.047160675,25,South
Delaware,2007,7721,13.3205733224,25,South
Delaware,2008,8107,15.2891582002,25,South
Delaware,2009,8385,16.7960954608,26,South
Delaware,2010,8802,17.3037071698,26,South
Delaware,2011,9202,16.994546063799998,26,South
Delaware,2012,9446,17.1438912854,27,South
Delaware,2013,9768,18.0341077574,27,South
Delaware,2014,10263,19.4240218556,27,South
Delaware,2015,10714,20.6646402408,27,South
Delaware,2016,10933,21.6097535008,27,South
Delaware,2017,11444,21.8848342392,27,South
District of Columbia,2000,6292,17.110384288200002,25,South
District of Columbia,2005,8908,26.8505877772,26,South
District of Columbia,2006,9251,29.3428372628,26,South
District of Columbia,2007,9851,30.999894722,26,South
District of Columbia,2008,10223,29.9538762464,26,South
District of Columbia,2009,10701,27.078938418,26,South
District of Columbia,2010,11112,25.384965253799997,26,South
District of Columbia,2011,11537,25.2521649044,27,South
District of Columbia,2012,11426,26.716451324,27,South
District of Columbia,2013,11583,29.4546185572,27,South
District of Columbia,2014,11975,30.4348609628,27,South
District of Columbia,2015,12500,28.3689221894,28,South
District of Columbia,2016,12851,26.1817491568,28,South
District of Columbia,2017,13131,25.8806851114,28,South
Florida,2000,4445,13.219904287,24,South
Florida,2005,5954,20.7391836556,25,South
Florida,2006,6298,21.769179862,25,South
Florida,2007,6608,22.30747208,25,South
Florida,2008,6856,23.176262032,25,South
Florida,2009,7118,26.25033213,26,South
Florida,2010,7269,31.129483162,26,South
Florida,2011,7375,35.540540774,26,South
Florida,2012,7609,37.44117368,26,South
Florida,2013,7603,37.675928208,27,South
Florida,2014,7965,37.307131674,27,South
Florida,2015,8330,37.129543728,27,South
Florida,2016,8519,37.320330784,27,South
Florida,2017,8814,37.810904258,29,South
Georgia,2000,3601,22.948591818,24,South
Georgia,2005,4905,24.188622084,25,South
Georgia,2006,5181,21.7133556808,25,South
Georgia,2007,5365,22.7601068096,25,South
Georgia,2008,5384,28.200808136,25,South
Georgia,2009,5527,34.883983719999996,25,South
Georgia,2010,5551,39.512475674,26,South
Georgia,2011,5696,41.04343834,26,South
Georgia,2012,5981,44.242415968,26,South
Georgia,2013,6229,51.004496392,26,South
Georgia,2014,6622,60.29612816,26,South
Georgia,2015,7055,64.677332476,27,South
Georgia,2016,7353,62.997839718,27,South
Georgia,2017,7605,58.858757818,27,South
Hawaii,2000,3874,6.6975752982,25,West
Hawaii,2005,5381,15.1726744514,26,West
Hawaii,2006,5555,18.2472342732,26,West
Hawaii,2007,6093,17.603889971,26,West
Hawaii,2008,6364,14.0119921798,26,West
Hawaii,2009,6510,11.8310280694,26,West
Hawaii,2010,6440,11.0977484764,26,West
Hawaii,2011,6460,11.2530265634,26,West
Hawaii,2012,6738,12.002104008,27,West
Hawaii,2013,6880,13.5539550096,27,West
Hawaii,2014,7224,15.5115834118,27,West
Hawaii,2015,7747,16.3733154372,27,West
Hawaii,2016,8041,15.7881513394,28,West
Hawaii,2017,8496,14.684525569,28,West
Idaho,2000,3372,21.075942378,25,West
Idaho,2005,4793,54.3455569022,26,West
Idaho,2006,5060,63.100702281,26,West
Idaho,2007,5314,61.6531693972,26,West
Idaho,2008,5448,50.746146644,26,West
Idaho,2009,5668,43.6807580336,26,West
Idaho,2010,5909,40.7171745798,26,West
Idaho,2011,6052,39.1326573482,26,West
Idaho,2012,6283,38.1211394524,26,West
Idaho,2013,6377,37.7756944816,26,West
Idaho,2014,6615,38.0953699294,26,West
Idaho,2015,6843,39.8471067866,27,West
Idaho,2016,6974,43.8644972408,27,West
Idaho,2017,7257,50.4109413496,27,West
Illinois,2000,4166,10.8670051714,25,Midwest
Illinois,2005,5679,12.7517232694,26,Midwest
Illinois,2006,6042,15.02178922,26,Midwest
Illinois,2007,6467,16.9120150874,26,Midwest
Illinois,2008,6629,18.1960502048,26,Midwest
Illinois,2009,6859,19.5125956436,26,Midwest
Illinois,2010,7159,21.2237464664,26,Midwest
Illinois,2011,7300,23.1476100676,27,Midwest
Illinois,2012,7505,24.2152473364,27,Midwest
Illinois,2013,7695,24.0543917928,27,Midwest
Illinois,2014,8017,22.9521962132,27,Midwest
Illinois,2015,8300,22.2726821772,27,Midwest
Illinois,2016,8630,22.3818765492,28,Midwest
Illinois,2017,8849,22.1191932022,28,Midwest
Indiana,2000,4018,9.3319838598,25,Midwest
Indiana,2005,5638,12.2395982858,25,Midwest
Indiana,2006,5996,15.0976454568,25,Midwest
Indiana,2007,6296,18.4173538954,25,Midwest
Indiana,2008,6380,22.4977979116,25,Midwest
Indiana,2009,6710,28.0080513404,25,Midwest
Indiana,2010,6859,36.026219666,26,Midwest
Indiana,2011,7104,47.14439984,26,Midwest
Indiana,2012,7618,54.749710538,26,Midwest
Indiana,2013,7647,55.475893872,26,Midwest
Indiana,2014,7998,51.221147258,26,Midwest
Indiana,2015,8368,47.788596512,26,Midwest
Indiana,2016,8776,44.619287526,27,Midwest
Indiana,2017,9015,41.050599672,27,Midwest
Iowa,2000,4226,13.8416595256,25,Midwest
Iowa,2005,5808,22.056073679,26,Midwest
Iowa,2006,6172,26.4391522168,26,Midwest
Iowa,2007,6444,28.9168355518,26,Midwest
Iowa,2008,6658,28.2440514384,26,Midwest
Iowa,2009,6889,28.3986911678,26,Midwest
Iowa,2010,7095,30.624258502,26,Midwest
Iowa,2011,7310,33.919001882399996,27,Midwest
Iowa,2012,7547,34.6688633426,27,Midwest
Iowa,2013,7638,33.019246074,27,Midwest
Iowa,2014,7967,30.839866754,27,Midwest
Iowa,2015,8358,31.49309723,27,Midwest
Iowa,2016,8464,35.0434789,27,Midwest
Iowa,2017,8525,38.661124634,28,Midwest
Kansas,2000,4225,10.4448068008,25,Midwest
Kansas,2005,5758,17.9281128466,26,Midwest
Kansas,2006,6026,21.122333932,26,Midwest
Kansas,2007,6349,24.295546313,26,Midwest
Kansas,2008,6570,27.0207473484,26,Midwest
Kansas,2009,6727,28.912530982,26,Midwest
Kansas,2010,6803,29.998199644,26,Midwest
Kansas,2011,7071,30.53447495,26,Midwest
Kansas,2012,7385,31.821297956,26,Midwest
Kansas,2013,7240,33.779885866,26,Midwest
Kansas,2014,7368,35.3043934846,27,Midwest
Kansas,2015,7634,35.732926392799996,27,Midwest
Kansas,2016,7845,35.5031584786,27,Midwest
Kansas,2017,8060,35.749674313999996,27,Midwest
Kentucky,2000,4154,14.2385547206,24,South
Kentucky,2005,5659,17.9565615998,25,South
Kentucky,2006,5981,17.8487645942,25,South
Kentucky,2007,6206,18.0116640054,25,South
Kentucky,2008,6351,18.6951041438,25,South
Kentucky,2009,6676,19.9961330144,25,South
Kentucky,2010,6861,21.829599058,25,South
Kentucky,2011,7097,23.8865237604,25,South
Kentucky,2012,7249,25.9851721348,25,South
Kentucky,2013,7499,28.0889746806,25,South
Kentucky,2014,7965,30.0846381124,26,South
Kentucky,2015,8306,32.201974826,26,South
Kentucky,2016,8611,34.824958696,26,South
Kentucky,2017,8959,37.4835898834,28,South
Louisiana,2000,4021,16.5066862738,24,South
Louisiana,2005,5412,21.8171850132,25,South
Louisiana,2006,5935,19.6604517222,25,South
Louisiana,2007,6286,17.901359396,25,South
Louisiana,2008,6594,17.620108228,25,South
Louisiana,2009,6929,19.780257442,25,South
Louisiana,2010,7187,24.360837746,25,South
Louisiana,2011,7124,31.6872519,25,South
Louisiana,2012,7271,40.985370012,25,South
Louisiana,2013,7462,52.588877004,25,South
Louisiana,2014,7855,65.756290064,26,South
Louisiana,2015,8201,74.102741448,26,South
Louisiana,2016,8542,75.507614464,26,South
Louisiana,2017,8984,69.02666343199999,28,South
Maine,2000,4638,7.5689734708,25,Northeast
Maine,2005,6875,10.3227763352,26,Northeast
Maine,2006,7295,10.1941099878,26,Northeast
Maine,2007,7637,10.2464452838,26,Northeast
Maine,2008,7924,10.73173028,26,Northeast
Maine,2009,8192,11.6047769398,26,Northeast
Maine,2010,8342,12.5568399156,26,Northeast
Maine,2011,8584,12.9990077566,26,Northeast
Maine,2012,8753,13.3192597792,27,Northeast
Maine,2013,8813,14.091315798,27,Northeast
Maine,2014,9115,15.2002599546,27,Northeast
Maine,2015,9591,15.9597970726,27,Northeast
Maine,2016,10018,15.8135708094,27,Northeast
Maine,2017,10399,14.7221860864,27,Northeast
Maryland,2000,4227,14.6785413176,25,South
Maryland,2005,6075,17.6769060086,26,South
Maryland,2006,6560,18.2025303724,26,South
Maryland,2007,6945,19.2075122728,26,South
Maryland,2008,7226,20.9262290098,26,South
Maryland,2009,7518,22.6424211858,26,South
Maryland,2010,7744,23.819530981,26,South
Maryland,2011,7928,24.0610349408,27,South
Maryland,2012,8110,23.8573559476,27,South
Maryland,2013,8217,23.4439844308,27,South
Maryland,2014,8574,23.0951621534,27,South
Maryland,2015,9001,23.3446903918,28,South
Maryland,2016,9321,24.3918486696,28,South
Maryland,2017,9592,26.0792668422,28,South
Massachusetts,2000,5171,8.101864373,27,Northeast
Massachusetts,2005,7479,13.1664648628,27,Northeast
Massachusetts,2006,8055,13.1759077034,27,Northeast
Massachusetts,2007,8617,12.9007121358,27,Northeast
Massachusetts,2008,8974,12.7371141602,28,Northeast
Massachusetts,2009,9361,12.9946943592,28,Northeast
Massachusetts,2010,9533,13.3304902552,28,Northeast
Massachusetts,2011,9720,13.0047130084,28,Northeast
Massachusetts,2012,9952,13.204128463,28,Northeast
Massachusetts,2013,10085,14.3471148554,29,Northeast
Massachusetts,2014,10394,16.159680167,29,Northeast
Massachusetts,2015,11010,20.7273479042,29,Northeast
Massachusetts,2016,11490,32.10532168,29,Northeast
Massachusetts,2017,11746,46.901668698,29,Northeast
Michigan,2000,4050,8.9937530362,25,Midwest
Michigan,2005,5564,34.5568013,26,Midwest
Michigan,2006,5979,36.907696278,26,Midwest
Michigan,2007,6318,37.371619442,26,Midwest
Michigan,2008,6552,33.863579262,26,Midwest
Michigan,2009,6824,31.54486542,26,Midwest
Michigan,2010,7089,31.631585126,26,Midwest
Michigan,2011,7345,33.2032192,26,Midwest
Michigan,2012,7579,32.819601160000005,26,Midwest
Michigan,2013,7693,30.264036192,27,Midwest
Michigan,2014,7967,27.1731857186,27,Midwest
Michigan,2015,8372,26.077378906,27,Midwest
Michigan,2016,8707,26.6425765568,27,Midwest
Michigan,2017,8940,28.4209405996,27,Midwest
Minnesota,2000,4506,8.9644408248,26,Midwest
Minnesota,2005,6328,13.898361349,27,Midwest
Minnesota,2006,6673,15.6472051646,27,Midwest
Minnesota,2007,7045,17.5502399334,27,Midwest
Minnesota,2008,7227,20.6075541398,27,Midwest
Minnesota,2009,7532,24.6948141912,27,Midwest
Minnesota,2010,7801,28.5587972986,27,Midwest
Minnesota,2011,8013,30.727983253,27,Midwest
Minnesota,2012,8242,30.8386675828,28,Midwest
Minnesota,2013,8533,29.1080036822,28,Midwest
Minnesota,2014,8919,26.3528134778,28,Midwest
Minnesota,2015,9163,25.332841378,28,Midwest
Minnesota,2016,9540,25.819478762,28,Midwest
Minnesota,2017,9782,26.408749654,28,Midwest
Mississippi,2000,3704,15.143120607,24,South
Mississippi,2005,5364,20.5076565192,24,South
Mississippi,2006,5775,21.2680927078,24,South
Mississippi,2007,6161,21.6719056438,24,South
Mississippi,2008,6380,22.4323954842,24,South
Mississippi,2009,6551,24.443216389,24,South
Mississippi,2010,6554,27.0632791736,24,South
Mississippi,2011,6735,28.899356543,24,South
Mississippi,2012,7210,28.7822529308,25,South
Mississippi,2013,7203,27.2030355332,25,South
Mississippi,2014,7500,25.41415979,25,South
Mississippi,2015,7777,25.01311213,25,South
Mississippi,2016,8170,26.011379166,26,South
Mississippi,2017,8392,28.266394892,26,South
Missouri,2000,4159,14.5295636718,25,Midwest
Missouri,2005,5665,21.467975025,25,Midwest
